proveedor_id,ruc,razon_social,correo,telefono,pais,estado
PRV0001,20786579303,Soluciones Andes SAC,contacto1@proveedor-demo.com,946913810,Peru,Activo
PRV0002,20249827706,Soluciones Integral SAC,contacto2@proveedor-demo.com,921668732,Ecuador,Inactivo
PRV0003,20134126396,Soluciones Andes SAC,contacto3@proveedor-demo.com,939345092,Peru,Activo
PRV0004,20702632297,Servicios Integral SAC,contacto4@proveedor-demo.com,966306997,Peru,Inactivo
PRV0005,20732719211,Tecnología Andes SAC,contacto5@proveedor-demo.com,931429110,Colombia,Inactivo
PRV0006,20465341213,Tecnología Global SAC,contacto6@proveedor-demo.com,938898923,,Activo
PRV0007,20209747451,Soluciones Nova SAC,contacto7@proveedor-demo.com,922981052,PE,Activo
PRV0008,20748245888,Tecnología Andes SAC,contacto8@proveedor-demo.com,971662963,Ecuador,Activo
PRV0009,20506448196,Soluciones Integral SAC,contacto9@proveedor-demo.com,949349722,,Activo
PRV0010,20719927151,Servicios Andes SAC,contacto10@proveedor-demo.com,916150444,Colombia,Activo
PRV0011,20930075810,Tecnología Andes SAC,contacto11@proveedor-demo.com,941244663,,Activo
PRV0012,20508157429,Tecnología Nova SAC,contacto12@proveedor-demo.com,995320121,,Activo
PRV0013,20274648506,Tecnología Pacífico SAC,contacto13@proveedor-demo.com,938119557,Colombia,Activo
PRV0014,20853573823,Soluciones Integral SAC,contacto14@proveedor-demo.com,995225343,Peru,Activo
PRV0015,20275452091,Consultores Nova SAC,contacto15@proveedor-demo.com,946231783,Colombia,Activo
PRV0016,20835098955,Tecnología Andes SAC,contacto16@proveedor-demo.com,940742311,,Activo
PRV0017,20964411347,Tecnología Nova SAC,,945935572,Perú,Activo
PRV0018,20709004943,Tecnología Global SAC,contacto18@proveedor-demo.com,997971488,PERU,Inactivo
PRV0019,20790256940,Consultores Global SAC,contacto19@proveedor-demo.com,,PE,Activo
PRV0020,20364814270,Data Integral SAC,contacto20@proveedor-demo.com,945264581,Colombia,Inactivo
PRV0021,20726563708,Consultores Pacífico SAC,contacto21@proveedor-demo.com,939436733,Peru,Inactivo
PRV0022,20197613238,Soluciones Andes SAC,contacto22@proveedor-demo.com,930514014,Colombia,Activo
PRV0023,20950488739,Consultores Integral SAC,contacto23@proveedor-demo.com,918526544,PERU,Inactivo
PRV0024,20739830322,Consultores Integral SAC,contacto24@proveedor-demo.com,943744231,Ecuador,Activo
PRV0025,20739830322,Soluciones Integral SAC,contacto25@proveedor-demo.com,945812670,,Activo
PRV0026,20219778234,Tecnología Nova SAC,contacto26@proveedor-demo.com,931227574,PERU,Activo
PRV0027,20875340444,Tecnología Integral SAC,contacto27@proveedor-demo.com,933978249,Ecuador,Activo
PRV0028,20771410971,Tecnología Integral SAC,contacto28@proveedor-demo.com,991734598,Peru,Activo
PRV0029,20501486939,Servicios Integral SAC,contacto29@proveedor-demo.com,981182864,Perú,Activo
PRV0030,20624636385,Soluciones Andes SAC,contacto30@proveedor-demo.com,958718453,,Activo
PRV0031,20357109965,Soluciones Global SAC,contacto31@proveedor-demo.com,986149359,Perú,Activo
PRV0032,20885879795,Consultores Andes SAC,contacto32@proveedor-demo.com,981498611,,Activo
PRV0033,791798,Consultores Integral SAC,contacto33@proveedor-demo.com,932162965,PE,Inactivo
PRV0034,20327416584,Data Global SAC,,951837852,PERU,Activo
PRV0035,20570406376,Data Nova SAC,contacto35@proveedor-demo.com,926240908,Peru,Activo
PRV0036,20168747287,Tecnología Andes SAC,contacto36@proveedor-demo.com,988961459,Ecuador,Activo
PRV0037,20731832764,Servicios Andes SAC,contacto37@proveedor-demo.com,919528530,Colombia,Activo
PRV0038,20345824373,Soluciones Andes SAC,contacto38@proveedor-demo.com,,,Activo
PRV0039,20176082500,Data Global SAC,contacto39@proveedor-demo.com,947376585,Colombia,Inactivo
PRV0040,20330035022,Data Global SAC,contacto40@proveedor-demo.com,986644106,Ecuador,Inactivo
PRV0041,20360916298,Consultores Nova SAC,contacto41@proveedor-demo.com,935556386,Perú,Activo
PRV0042,20807577342,Consultores Pacífico SAC,contacto42@proveedor-demo.com,966851760,PERU,Inactivo
PRV0043,20882839238,Soluciones Andes SAC,contacto43@proveedor-demo.com,918135295,PERU,Activo
PRV0044,20959629660,Soluciones Global SAC,contacto44@proveedor-demo.com,935714784,Peru,Inactivo
PRV0045,20250519597,Consultores Global SAC,contacto45@proveedor-demo.com,947385696,PERU,Activo
PRV0046,20180943908,Consultores Integral SAC,contacto46@proveedor-demo.com,923141087,Perú,Activo
PRV0047,20200140141,Servicios Global SAC,contacto47@proveedor-demo.com,964547971,PERU,Inactivo
PRV0048,20329509408,Consultores Andes SAC,contacto48@proveedor-demo.com,932097220,PERU,Activo
PRV0049,20519212169,Tecnología Nova SAC,contacto49@proveedor-demo.com,948285503,PERU,Inactivo
PRV0050,20274648506,Tecnología Global SAC,contacto50@proveedor-demo.com,917849494,Ecuador,Activo
PRV0051,20903132646,Tecnología Andes SAC,,916729990,Ecuador,Inactivo
PRV0052,20639931481,Data Global SAC,contacto52@proveedor-demo.com,917634247,Ecuador,Activo
PRV0053,20299528037,Soluciones Integral SAC,contacto53@proveedor-demo.com,919121552,Colombia,Activo
PRV0054,20533550699,Soluciones Integral SAC,contacto54@proveedor-demo.com,943046464,Ecuador,Activo
PRV0055,20765055833,Soluciones Nova SAC,contacto55@proveedor-demo.com,998231132,Ecuador,Activo
PRV0056,20379995032,Servicios Pacífico SAC,contacto56@proveedor-demo.com,942035886,PE,Inactivo
PRV0057,20240529481,Tecnología Nova SAC,contacto57@proveedor-demo.com,,PE,Activo
PRV0058,20110002396,Consultores Integral SAC,contacto58@proveedor-demo.com,985563727,Perú,Activo
PRV0059,20677280546,Servicios Integral SAC,contacto59@proveedor-demo.com,945594597,Peru,Activo
PRV0060,20173864104,Servicios Pacífico SAC,contacto60@proveedor-demo.com,948250360,Peru,Inactivo
PRV0061,20995226828,Data Pacífico SAC,contacto61@proveedor-demo.com,992097999,,Activo
PRV0062,20817112652,Data Pacífico SAC,contacto62@proveedor-demo.com,999038526,Perú,Activo
PRV0063,20383968123,Soluciones Andes SAC,contacto63@proveedor-demo.com,984252420,Peru,Activo
PRV0064,20402533494,Data Global SAC,contacto64@proveedor-demo.com,956020613,Peru,Activo
PRV0065,20642678844,Consultores Pacífico SAC,contacto65@proveedor-demo.com,916818112,Perú,Inactivo
PRV0066,390120,Soluciones Andes SAC,contacto66@proveedor-demo.com,954769200,,Activo
PRV0067,20784095277,Tecnología Global SAC,contacto67@proveedor-demo.com,969302158,Ecuador,Inactivo
PRV0068,20702269164,Soluciones Andes SAC,,920099059,Colombia,Activo
PRV0069,20685823118,Soluciones Pacífico SAC,contacto69@proveedor-demo.com,988183110,Ecuador,Activo
PRV0070,20561479973,Servicios Andes SAC,contacto70@proveedor-demo.com,951373735,PE,Activo
PRV0071,20484194737,Servicios Global SAC,contacto71@proveedor-demo.com,999514287,Perú,Activo
PRV0072,20937643439,Data Nova SAC,contacto72@proveedor-demo.com,993303777,Colombia,Activo
PRV0073,20354194771,Servicios Global SAC,contacto73@proveedor-demo.com,965337219,Perú,Activo
PRV0074,20890880074,Tecnología Nova SAC,contacto74@proveedor-demo.com,999913412,,Activo
PRV0075,20726563708,Soluciones Nova SAC,contacto75@proveedor-demo.com,915197528,,Inactivo
PRV0076,20338836384,Servicios Nova SAC,contacto76@proveedor-demo.com,,PE,Activo
PRV0077,20981044229,Servicios Global SAC,contacto77@proveedor-demo.com,913176186,Colombia,Activo
PRV0078,20527849588,Tecnología Pacífico SAC,contacto78@proveedor-demo.com,919317495,,Activo
PRV0079,20477040284,Data Nova SAC,contacto79@proveedor-demo.com,981969657,PE,Activo
PRV0080,20223847257,Tecnología Global SAC,contacto80@proveedor-demo.com,987925434,PE,Activo
PRV0081,20216396351,Data Nova SAC,contacto81@proveedor-demo.com,956397338,Colombia,Activo
PRV0082,20568574364,Data Integral SAC,contacto82@proveedor-demo.com,925521714,PERU,Activo
PRV0083,20373506211,Soluciones Nova SAC,contacto83@proveedor-demo.com,910226999,Ecuador,Activo
PRV0084,20491079829,Consultores Andes SAC,contacto84@proveedor-demo.com,999152472,PE,Activo
PRV0085,20812306873,Soluciones Pacífico SAC,,978064830,PE,Inactivo
PRV0086,20450236225,Consultores Pacífico SAC,contacto86@proveedor-demo.com,984411983,Peru,Activo
PRV0087,20551450815,Consultores Global SAC,contacto87@proveedor-demo.com,992613013,Ecuador,Activo
PRV0088,20536019893,Data Andes SAC,contacto88@proveedor-demo.com,950785405,PE,Activo
PRV0089,20561588882,Data Integral SAC,contacto89@proveedor-demo.com,997873101,PE,Inactivo
PRV0090,20574364121,Consultores Global SAC,contacto90@proveedor-demo.com,978608612,PERU,Activo
PRV0091,20807435606,Soluciones Pacífico SAC,contacto91@proveedor-demo.com,979182797,Colombia,Activo
PRV0092,20200273738,Servicios Pacífico SAC,contacto92@proveedor-demo.com,940150759,,Activo
PRV0093,20258220114,Soluciones Andes SAC,contacto93@proveedor-demo.com,942862209,PERU,Activo
PRV0094,20588999385,Consultores Integral SAC,contacto94@proveedor-demo.com,936096655,Colombia,Inactivo
PRV0095,20630833445,Consultores Global SAC,contacto95@proveedor-demo.com,,Peru,Activo
PRV0096,20906341966,Soluciones Nova SAC,contacto96@proveedor-demo.com,939372360,Peru,Inactivo
PRV0097,20153921577,Data Global SAC,contacto97@proveedor-demo.com,926288475,PERU,Activo
PRV0098,20960514523,Consultores Integral SAC,contacto98@proveedor-demo.com,985017682,Ecuador,Activo
PRV0099,564071,Data Integral SAC,contacto99@proveedor-demo.com,967276174,,Inactivo
PRV0100,20906341966,Consultores Nova SAC,contacto100@proveedor-demo.com,944788100,,Activo
