venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,total,canal,sucursal_id,vendedor
VEN000001,CLI00296,PROD0037,2024-05-10,5,11622.38,58111.9,Marketplace,SUC005,M. Rojas
VEN000002,CLI01110,PROD0327,2024-01-27,2,3254.42,6508.84,Online,SUC001,A. Torres
VEN000003,CLI00606,PROD0062,2024-01-16,4,10837.83,43351.32,,SUC002,A. Torres
VEN000004,CLI00520,PROD0232,2025-05-14,2,11062.67,22125.34,Call Center,SUC999,C. Vargas
VEN000005,CLI00022,PROD0306,2024-12-03,5,3040.87,15204.35,Marketplace,SUC006,M. Rojas
VEN000006,CLI00623,PROD0220,2025-09-06,10,671.78,6717.8,,SUC010,
VEN000007,CLI00086,PROD0348,2023-03-06,8,10275.96,82207.68,Marketplace,SUC006,L. Pérez
VEN000008,CLI00064,PROD0131,2025-02-24,8,14614.7,116917.6,Distribuidor,SUC002,C. Vargas
VEN000009,CLI01203,PROD0318,2025-10-01,6,8387.38,50324.28,Online,SUC007,A. Torres
VEN000010,CLI00999,PROD0045,2024-05-31,8,11119.42,88955.36,Distribuidor,SUC002,A. Torres
VEN000011,CLI00503,PROD0324,2025-07-20,2,4939.52,9879.04,Marketplace,SUC006,M. Rojas
VEN000012,CLI00962,PROD0018,2024-09-26,6,10673.33,64039.98,Distribuidor,SUC008,M. Rojas
VEN000013,CLI00841,PROD0049,2023-09-20,1,10250.98,10250.98,Distribuidor,SUC999,A. Torres
VEN000014,CLI01037,PROD0228,2025-10-25,2,14251.97,28503.94,Tienda,SUC008,L. Pérez
VEN000015,CLI01158,PROD0199,2023-04-10,9,12061.22,108550.98,Call Center,SUC010,A. Torres
VEN000016,CLI01059,PROD0252,2025-07-14,3,11015.07,33045.21,Call Center,SUC003,A. Torres
VEN000017,CLI00595,PROD0308,2025-05-23,6,4507.75,27046.5,Online,SUC999,M. Rojas
VEN000018,CLI00158,PROD0102,2025-09-22,8,2702.59,21620.72,Tienda,SUC001,C. Vargas
VEN000019,CLI00362,PROD0193,2024-09-11,1,13724.72,13724.72,Tienda,SUC004,L. Pérez
VEN000020,CLI01196,PROD0253,2025-06-29,4,3128.43,12513.72,,SUC002,A. Torres
VEN000021,CLI00337,PROD0072,2026-02-26,3,2542.68,7628.04,Online,SUC008,C. Vargas
VEN000022,CLI00751,PROD0221,2025-12-11,1,4842.27,4842.27,,SUC006,
VEN000023,CLI00218,PROD0215,2023-03-10,8,3314.69,26517.52,Call Center,SUC007,
VEN000024,CLI00865,PROD0035,2023-06-28,2,6873.86,13747.72,Call Center,SUC999,L. Pérez
VEN000025,CLI00973,PROD0206,2024-05-13,9,8569.37,77124.33,Tienda,SUC002,A. Torres
VEN000026,CLI00332,PROD0045,2024-01-18,10,11119.42,111194.2,,SUC004,C. Vargas
VEN000027,CLI01119,PROD0192,2024-06-22,9,8096.9,72872.1,Marketplace,SUC002,M. Rojas
VEN000028,CLI01193,PROD0212,2026-02-20,2,9513.46,19026.92,Online,SUC004,M. Rojas
VEN000029,CLI00302,PROD0154,2025-03-11,3,11243.35,33730.05,Online,SUC006,A. Torres
VEN000030,CLI01045,PROD0007,2025-12-10,2,6409.82,12819.64,,SUC005,
VEN000031,CLI01087,PROD0005,2023-10-08,5,10044.03,50220.15,Call Center,SUC004,C. Vargas
VEN000032,CLI00438,PROD0097,2025-09-06,8,2672.04,21376.32,Marketplace,SUC004,A. Torres
VEN000033,CLI00354,PROD0199,2026-01-13,9,12061.22,108550.98,Online,SUC003,M. Rojas
VEN000034,CLI01045,PROD0075,2025-09-05,2,5312.77,10625.54,Distribuidor,SUC002,
VEN000035,CLI00338,PROD0127,2025-01-10,7,2802.89,19620.23,Tienda,SUC005,C. Vargas
VEN000036,CLI00123,PROD0222,2024-10-18,1,2075.36,2075.36,Marketplace,SUC001,M. Rojas
VEN000037,CLI00766,PROD0201,2024-04-05,8,10639.89,85119.12,,SUC003,C. Vargas
VEN000038,CLI01044,PROD0209,2024-05-09,3,13935.95,41807.85,Distribuidor,SUC009,L. Pérez
VEN000039,CLI01019,PROD0039,2023-03-05,7,14556.36,101894.52,Marketplace,SUC002,
VEN000040,CLI00174,PROD0075,2025-01-26,1,5312.77,5312.77,Call Center,SUC007,L. Pérez
VEN000041,CLI00952,PROD0333,2024-09-13,6,4497.18,26983.08,Distribuidor,SUC010,L. Pérez
VEN000042,CLI00632,PROD0241,2025-09-25,9,3049.71,27447.39,Marketplace,SUC010,
VEN000043,CLI01176,PROD0071,2024-11-21,8,5569.41,44555.28,Online,SUC008,L. Pérez
VEN000044,CLI01092,PROD0265,2023-05-09,10,7118.56,71185.6,Call Center,SUC999,L. Pérez
VEN000045,CLI00556,PROD0148,2025-11-17,10,2627.68,26276.8,Tienda,SUC006,L. Pérez
VEN000046,CLI00491,PROD0290,2024-12-14,4,13205.62,52822.48,Call Center,SUC004,L. Pérez
VEN000047,CLI01061,PROD0347,2024-07-24,7,677.58,4743.06,Call Center,SUC010,C. Vargas
VEN000048,CLI00386,PROD0314,2024-08-27,3,10855.51,32566.53,Tienda,SUC999,L. Pérez
VEN000049,CLI01112,PROD0284,2024-02-23,6,7624.48,45746.88,Marketplace,SUC010,
VEN000050,CLI00356,PROD0061,2024-05-20,5,5099.7,25498.5,Tienda,SUC010,L. Pérez
VEN000051,CLI00375,PROD0332,2025-02-06,8,5552.34,44418.72,Tienda,SUC007,C. Vargas
VEN000052,CLI00555,PROD0291,2026-01-05,8,6322.98,50583.84,Call Center,SUC003,L. Pérez
VEN000053,CLI00148,PROD0130,2025-02-10,2,11862.56,23725.12,Distribuidor,SUC007,A. Torres
VEN000054,CLI00137,PROD0097,2025-10-10,5,2672.04,13360.2,Marketplace,SUC009,
VEN000055,CLI00568,PROD0262,2025-05-11,10,10568.87,105688.7,Tienda,SUC005,A. Torres
VEN000056,CLI00876,PROD0322,2023-08-10,8,7661.77,61294.16,Marketplace,SUC007,C. Vargas
VEN000057,CLI00642,PROD0062,2024-01-06,3,10837.83,32513.49,Online,SUC006,A. Torres
VEN000058,CLI00085,PROD0036,2023-08-09,5,9034.08,45170.4,Distribuidor,SUC009,L. Pérez
VEN000059,CLI00261,PROD0050,2024-02-24,7,12063.08,84441.56,Online,SUC999,
VEN000060,CLI00123,PROD0006,2024-11-22,2,2240.05,4480.1,Distribuidor,SUC005,L. Pérez
